case,theme,board_size,expected_outcome,http_status,exact_board,expected_error_matched,warning_free,response_stable,median_ms,p95_ms
app-192206--blur-0.8,light,7,success,200,True,False,True,True,144.64,154.957
app-192206--pad-40,light,7,success,200,True,False,True,True,216.007,278.748
app-192206--crop-12,light,7,success,200,True,False,True,True,195.873,252.006
app-192257,light,8,success,200,True,False,True,True,348.669,484.22
app-192257--scale-75,light,8,success,200,True,False,True,True,207.364,236.728
app-192257--scale-125,light,8,success,200,True,False,True,True,433.643,575.475
app-192257--jpeg-q65,light,8,success,200,True,False,True,True,353.766,679.363
app-192257--blur-0.8,light,8,success,200,True,False,True,True,301.208,369.231
app-192257--pad-40,light,8,success,200,True,False,True,True,322.027,360.701
app-192257--crop-12,light,8,success,200,True,False,True,True,276.398,309.011
app-192303,dark,8,success,200,True,False,True,True,376.472,399.033
app-192303--scale-75,dark,8,success,200,True,False,True,True,180.581,218.414
app-192303--scale-125,dark,8,success,200,True,False,True,True,484.796,633.12
app-192303--jpeg-q65,dark,8,success,200,True,False,True,True,438.83,614.673
app-192303--blur-0.8,dark,8,success,200,True,False,True,True,388.5,492.335
app-192303--pad-40,dark,8,success,200,True,False,True,True,407.536,450.638
app-192303--crop-12,dark,8,success,200,True,False,True,True,364.513,415.36
app-192314,dark,8,success,200,True,False,True,True,210.164,228.729
app-192314--scale-75,dark,8,success,200,True,False,True,True,135.876,156.433
app-192314--scale-125,dark,8,success,200,True,False,True,True,305.647,352.149
app-192314--jpeg-q65,dark,8,success,200,True,False,True,True,288.544,307.449
app-192314--blur-0.8,dark,8,success,200,True,False,True,True,219.439,229.274
app-192314--pad-40,dark,8,success,200,True,False,True,True,281.701,291.013
app-192314--crop-12,dark,8,success,200,True,False,True,True,217.623,242.393
app-192319,light,8,success,200,True,False,True,True,282.398,309.59
app-192319--scale-75,light,8,success,200,True,False,True,True,166.395,174.339
app-192319--scale-125,light,8,success,200,True,False,True,True,435.278,456.533
app-192319--jpeg-q65,light,8,success,200,True,False,True,True,372.34,476.752
app-192319--blur-0.8,light,8,success,200,True,False,True,True,320.54,390.23
app-192319--pad-40,light,8,success,200,True,False,True,True,400.943,482.932
app-192319--crop-12,light,8,success,200,True,False,True,True,273.237,387.855
app-192346,light,8,success,200,True,False,True,True,300.598,405.164
app-192346--scale-75,light,8,success,200,True,False,True,True,172.611,183.457
app-192346--scale-125,light,8,success,200,True,False,True,True,440.791,487.242
app-192346--jpeg-q65,light,8,success,200,True,False,True,True,379.21,425.242
app-192346--blur-0.8,light,8,success,200,True,False,True,True,296.481,315.467
